Mag X	Mag Y	Mag Z		
-487.5	651	-373.5	-209.5	-40.5
-495	660	-381	-217	-48
-487.5	651	-375	-209.5	-42
-490.5	652.5	-367.5	-212.5	-34.5
-490.5	658.5	-376.5	-212.5	-43.5
-436.5	649.5	-405	-158.5	-72
-345	645	-361.5	-67	-28.5
-330	615	-246	-52	87
-327	591	-127.5	-49	205.5
-237	570	-88.5	41	244.5
-231	594	-61.5	47	271.5
-244.5	606	22.5	33.5	355.5
-231	612	51	47	384
-217.5	624	54	60.5	387
-201	619.5	54	77	387
-201	628.5	52.5	77	385.5
-208.5	631.5	49.5	69.5	382.5
-204	624	48	74	381
-211.5	630	46.5	66.5	379.5
-204	627	49.5	74	382.5
-207	621	57	71	390
-204	630	55.5	74	388.5
-204	636	54	74	387
-199.5	619.5	57	78.5	390
-202.5	633	58.5	75.5	391.5
-204	625.5	57	74	390
-199.5	627	55.5	78.5	388.5
-205.5	636	57	72.5	390
-207	622.5	52.5	71	385.5
-201	634.5	55.5	77	388.5
-199.5	630	57	78.5	390
-205.5	633	45	72.5	378
-196.5	634.5	43.5	81.5	376.5
-189	633	52.5	89	385.5
-193.5	622.5	63	84.5	396
-198	625.5	52.5	80	385.5
-202.5	628.5		75.5	333
-204	622.5	51	74	384
-204	631.5	48	74	381
-199.5	627	48	78.5	381
-190.5	625.5	52.5	87.5	385.5
-201	630	52.5	77	385.5
-198	621	45	80	378
-193.5	627	52.5	84.5	385.5
-196.5	628.5	46.5	81.5	379.5
-207	621	37.5	71	370.5
-201	628.5	43.5	77	376.5
-202.5	627	45	75.5	378
-205.5	628.5	42	72.5	375
-204	625.5	43.5	74	376.5
-202.5	630	46.5	75.5	379.5
-204	627	51	74	384
-193.5	627	46.5	84.5	379.5
-201	630	48	77	381
-202.5	624	40.5	75.5	373.5
-199.5	628.5	46.5	78.5	379.5
-204	627	45	74	378
-205.5	619.5	46.5	72.5	379.5
-202.5	627	37.5	75.5	370.5
-201	619.5	40.5	77	373.5
-201	621	37.5	77	370.5
-201	633	33	77	366
-195	630	27	83	360
-189	625.5	25.5	89	358.5
-190.5	627	25.5	87.5	358.5
-196.5	624	30	81.5	363
-198	624	25.5	80	358.5
-196.5	631.5	31.5	81.5	364.5
-196.5	624	22.5	81.5	355.5
-195	621	18	83	351
-193.5	621	21	84.5	354
-189	618	25.5	89	358.5
-184.5	624	30	93.5	363
-180	622.5	21	98	354
-168	619.5	7.5	110	340.5
-163.5	630	9	114.5	342
-169.5	630	18	108.5	351
-169.5	615	15	108.5	348
-154.5	618	12	123.5	345
-126	622.5	9	152	342
-123	625.5	7.5	155	340.5
-115.5	633	7.5	162.5	340.5
-123	625.5	7.5	155	340.5
-129	625.5	4.5	149	337.5
-136.5	634.5	90	141.5	423
-129	643.5	67.5	149	400.5
-30	631.5	120	248	453
15	604.5	189	293	522
24	579	189	302	522
