Mag X,Mag Z,Mag Y
13.01207476,-468.3661459,89.7383862
30.65484526,-472.2016234,82.7927487
21.32815426,-478.3919179,89.7224397
6.430089764,-477.1033069,79.4447637
-213.0057052,-425.6952889,97.3884252
-210.7580872,-423.5701924,107.7073497
-218.6472187,-418.2370954,107.7284742
-215.7416437,-423.1458334,111.1683117
-200.6301052,-426.7807819,121.4485767
-220.2719497,-427.4063824,104.3041707
-222.8207167,-427.2110314,128.4169272
-204.7159282,-435.7288279,107.7027597
-207.8262097,-428.4711634,100.8169062
-220.7076652,-422.7162964,107.7424197
-228.3657877,-419.7243589,100.8792792
-221.5615612,-413.3309464,107.7320637
-218.6472187,-418.2370954,107.7284742
-389.2639522,-252.2866519,121.8862497
-385.7530252,-264.2447584,139.1075622
-378.4517107,-262.5233089,118.4181087
-391.3331662,-256.7684419,125.3436222
-377.3843407,-274.2549964,118.4310537
-378.4604782,-262.5258979,121.8615357
-377.8375912,-269.5700884,128.7561567
-387.1818172,-275.7655609,142.5727017
-385.1038357,-271.2811819,135.6719022
-375.3764992,-269.7913294,139.0776702
-383.6662762,-259.7577904,128.7633357
-376.2216277,-260.4033904,135.6238872
-390.9062182,-261.4611169,125.3488002
-380.7694687,-264.6691174,135.6466002
-385.9489642,-261.8932429,132.2181192
-393.2064412,-263.6017474,135.6904377
-444.7552297,-49.6562104,135.5714052
-452.8666027,-41.9793649,139.0333677
-445.6178932,-40.2734494,139.0044762
-442.4637742,-47.5181689,128.6731947
-451.0108627,-35.1512374,135.5734062
-445.3956517,-42.6171979,135.5636382
-453.9427402,-30.2502664,142.4638497
-442.7123182,-45.1821874,142.4443137
-437.5415902,-47.9606509,149.3162217
-445.3868842,-42.6146089,132.1202112
-450.6014497,-39.8490904,142.4654382
-448.9942537,-30.6849814,152.7765957
-448.7544772,-33.0235519,142.4489037
-448.7457097,-33.0209629,139.0054767
-452.6618962,-44.3282914,142.4793837
-453.7117312,-32.5914259,135.5795847
-448.1140552,-40.0625644,142.4566707
-447.8918137,-42.4063129,139.0158327
-453.3110857,-37.2918679,145.9150437
-447.8918137,-42.4063129,139.0158327
-453.2935507,-37.2866899,139.0281897
-448.7720122,-33.0287299,149.3357577
-455.8072477,-37.0809829,149.3672382
-448.5760732,-35.3802454,156.2252007
-414.5603722,187.5180641,155.7811827
-411.6109597,182.6222711,142.0038852
-418.4590237,176.2159136,152.3682357
-413.6977087,178.1353031,152.3481117
-406.4402317,179.8438076,148.8757932
-411.4150207,180.2707556,148.8933282
-393.7985527,176.4275111,152.2779717
-409.5680482,187.0962941,148.8767937
-406.6449382,182.1927341,145.4297772
-412.4560882,192.0102101,138.5501022
-409.5592807,187.0988831,145.4333667
-402.0883297,186.4610501,141.9636372
-415.7230852,173.6664581,138.5883492
-410.5961947,170.8750496,162.6773922
-418.2280147,173.8747541,145.4839707
-255.0508177,360.0632321,161.8384242
-251.8966987,352.8185126,151.5071427
-267.6398917,363.4950626,137.7756837
-270.1623562,363.6981806,151.5581592
-275.9296687,373.5286016,127.4613492
-262.0509832,356.0213351,148.0961967
-265.3835062,365.6227481,144.6511812
-264.9390232,360.9352511,137.7695052
-272.1965002,359.2267466,141.2418237
-267.6311242,363.4976516,134.3322567
-263.0920507,367.7607896,137.7529707
-262.4516287,360.7217771,137.7607377
-275.3593867,366.4688771,155.0165322
-274.6838947,359.4402206,141.2505912
-29.13842624,454.7744516,133.3312347
-34.33545674,457.5451481,136.7896077
-17.10209924,458.4075236,122.9519382
-35.54200724,443.6805971,136.8139092
-24.14610224,454.3526816,126.4268457
-30.97663124,447.9515021,129.9043422
