
Command: IIS2MDC Calibrate






















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW
16------------4

Mag Z: 40.50


Mag X: -250.50
Mag Y: 618.00
Mag Z: 43.50


Mag X: -247.50
Mag Y: 619.50
Mag Z: 37.50


Mag X: -243.00
Mag Y: 625.50
Mag Z: 43.50


Mag X: -252.00
Mag Y: 621.00
Mag Z: 39.00


Mag X: -264.00
Mag Y: 616.50
Mag Z: 27.00

Command: X Max: -12.000000, X Min: -573.000000, Y Max: 61.000000, Y Min: -780.000000IIS2MDC Calibration Stop
X Calibration Offset: 292.500
Y Calibration Offset: 359.500




















