
Command:
Command: IIS2MDC Calibrate





















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW
16------------4

Mag Z: -61.50


Mag X: -13.50
Mag Y: 271.50
Mag Z: -51.00


Mag X: -22.50
Mag Y: 279.00
Mag Z: -36.00


Mag X: -22.50
Mag Y: 276.00
Mag Z: -33.00


Mag X: -24.00
Mag Y: 262.50
Mag Z: -28.50


Mag X: -37.50
Mag Y: 273.00
Mag Z: -13.50


Mag X: -34.50
Mag Y: 277.50
Mag Z: -6.00


Mag X: -30.00
Mag Y: 262.50
Mag Z: -6.00


Mag X: -40.50
Mag Y: 271.50
Mag Z: -1.50


Mag X: -37.50
Mag Y: 261.00
Mag Z: 3.00


Mag X: -37.50
Mag Y: 262.50
Mag Z: -3.00


Mag X: -30.00
Mag Y: 261.00
Mag Z: 4.50


Mag X: -39.00
Mag Y: 262.50
Mag Z: 4.50


Mag X: -34.50
Mag Y: 258.00
Mag Z: 6.00


Mag X: -36.00
Mag Y: 261.00
Mag Z: 10.50


Mag X: -31.50
Mag Y: 262.50
Mag Z: 6.00


Mag X: -37.50
Mag Y: 250.50
Mag Z: 1.50


Mag X: -31.50
Mag Y: 256.50
Mag Z: 10.50


Mag X: -30.00
Mag Y: 265.50
Mag Z: 3.00


Mag X: -33.00
Mag Y: 244.50
Mag Z: -6.00


Mag X: -28.50
Mag Y: 259.50
Mag Z: -6.00


Mag X: -39.00
Mag Y: 262.50
Mag Z: -7.50


Mag X: -37.50
Mag Y: 256.50
Mag Z: -3.00


Mag X: -34.50
Mag Y: 265.50
Mag Z: -7.50


Mag X: -27.00
Mag Y: 255.00
Mag Z: -6.00


Mag X: -31.50
Mag Y: 247.50
Mag Z: -3.00


Mag X: -31.50
Mag Y: 258.00
Mag Z: -7.50


Mag X: -33.00
Mag Y: 250.50
Mag Z: -7.50


Mag X: -34.50
Mag Y: 252.00
Mag Z: -12.00


Mag X: -34.50
Mag Y: 262.50
Mag Z: -3.00


Mag X: -36.00
Mag Y: 253.50
Mag Z: -3.00


Mag X: -33.00
Mag Y: 256.50
Mag Z: -13.50


Mag X: -28.50
Mag Y: 261.00
Mag Z: -12.00


Mag X: -37.50
Mag Y: 259.50
Mag Z: -12.00


Mag X: -34.50
Mag Y: 253.50
Mag Z: -10.50


Mag X: -34.50
Mag Y: 258.00
Mag Z: -1.50


Mag X: -27.00
Mag Y: 255.00
Mag Z: -9.00


Mag X: -40.50
Mag Y: 252.00
Mag Z: -10.50


Mag X: -31.50
Mag Y: 264.00
Mag Z: -4.50


Mag X: -31.50
Mag Y: 253.50
Mag Z: -9.00


Mag X: -34.50
Mag Y: 255.00
Mag Z: -7.50


Mag X: -34.50
Mag Y: 267.00
Mag Z: -16.50


Mag X: -27.00
Mag Y: 252.00
Mag Z: -10.50


Mag X: -34.50
Mag Y: 259.50
Mag Z: -10.50


Mag X: -37.50
Mag Y: 256.50
Mag Z: -6.00


Mag X: -42.00
Mag Y: 250.50
Mag Z: -15.00


Mag X: -58.50
Mag Y: 246.00
Mag Z: -13.50


Mag X: -63.00
Mag Y: 262.50
Mag Z: -9.00


Mag X: -63.00
Mag Y: 255.00
Mag Z: 16.50


Mag X: -81.00
Mag Y: 259.50
Mag Z: 33.00


Mag X: -84.00
Mag Y: 265.50
Mag Z: 49.50


Mag X: -78.00
Mag Y: 264.00
Mag Z: 64.50


Mag X: -81.00
Mag Y: 270.00
Mag Z: 79.50


Mag X: -72.00
Mag Y: 274.50
Mag Z: 96.00


Mag X: -78.00
Mag Y: 270.00
Mag Z: 117.00


