Mag X	Mag Y	Mag Z			
-225	244.5	-337.5		-80	-225.5
-210	244.5	-343.5		-65	-231.5
-201	238.5	-345		-56	-233
-187.5	246	-343.5		-42.5	-231.5
-190.5	234	-348		-45.5	-236
-190.5	234	-346.5		-45.5	-234.5
-190.5	235.5	-345		-45.5	-233
-177		-352.5		-32	-240.5
-186		-351		-41	-239
-186	231	-361.5		-41	-249.5
-184.5	237	-355.5		-39.5	-243.5
-186	231	-354		-41	-242
-180	229.5	-358.5		-35	-246.5
-187.5	235.5	-355.5		-42.5	-243.5
-177	226.5	-354		-32	-242
-195	229.5	-364.5		-50	-252.5
-186	234	-358.5		-41	-246.5
-184.5		-355.5		-39.5	-243.5
-184.5	238.5	-361.5		-39.5	-249.5
-180	232.5	-363		-35	-251
-183				-38	112
-183	231	-378		-38	-266
-183	228	-372		-38	-260
-183		-364.5		-38	-252.5
-180	229.5	-363		-35	-251
-180	232.5	-361.5		-35	-249.5
-187.5	231	-360		-42.5	-248
-181.5	229.5	-364.5		-36.5	-252.5
-186	222	-372		-41	-260
-192	220.5	-373.5		-47	-261.5
-181.5	228	-375		-36.5	-263
-187.5	229.5	-378		-42.5	-266
-192	226.5	-379.5		-47	-267.5
-190.5	223.5	-376.5		-45.5	-264.5
-187.5	220.5	-372		-42.5	-260
-190.5	220.5	-399		-45.5	-287
-129	258	-388.5		16	-276.5
-171	243	-385.5		-26	-273.5
-178.5	252	-343.5		-33.5	-231.5
-174	246	-358.5		-29	-246.5
-187.5	246	-367.5		-42.5	-255.5
-189	234	-373.5		-44	-261.5
-189	225	-385.5		-44	-273.5
-187.5	234	-355.5		-42.5	-243.5
-186	226.5	-361.5		-41	-249.5
