Mag X	Mag Y	Mag Z		
19.5	681	-106.5	304.5	181.5
-12	679.5	-121.5	273	166.5
-15	682.5	-142.5	270	145.5
-15	685.5	-144	270	144
-15	691.5	-129	270	159
12	676.5	-121.5	297	166.5
7.5	687	-115.5	292.5	172.5
18	669	-120	303	168
7.5	687	-118.5	292.5	169.5
-6	675	-130.5	279	157.5
7.5	682.5	-121.5	292.5	166.5
3	690	-121.5	288	166.5
-1.5	684	-126	283.5	162
3	684	-126	288	162
3	685.5	-117	288	171
1.5	682.5	-135	286.5	153
6	690	-124.5	291	163.5
-1.5	685.5	-126	283.5	162
9	675	-121.5	294	166.5
-3	687	-126	282	162
4.5	681	-132	289.5	156
-1.5		-117	283.5	171
-1.5		-124.5	283.5	163.5
-7.5	670.5	-124.5	277.5	163.5
9	681	-120	294	168
-6	684	-127.5	279	160.5
-6	684	-126	279	162
-1.5	675	-126	283.5	162
3	673.5	-127.5	288	160.5
1.5	679.5	-124.5	286.5	163.5
6	684	-124.5	291	163.5
7.5	676.5	-129	292.5	159
10.5	679.5	-130.5	295.5	157.5
13.5	681	-132	298.5	156
15	676.5	-130.5	300	157.5
21	684	-136.5	306	151.5
7.5	682.5	-138	292.5	150
16.5	675	-145.5	301.5	142.5
13.5	679.5	-139.5	298.5	148.5
10.5	691.5	-153	295.5	135
13.5	681	-160.5	298.5	127.5
12	684	-160.5	297	127.5
13.5	679.5	-172.5	298.5	115.5
7.5	687	-190.5	292.5	97.5
-4.5	691.5	-195	280.5	93
-7.5	691.5	-198	277.5	90
3	690	-201	288	87
-10.5	682.5	-207	274.5	81
-7.5	682.5	-208.5	277.5	79.5
-13.5	693	-222	271.5	66
-24	685.5	-229.5	261	58.5
-21	687	-237	264	51
-28.5	691.5	-232.5	256.5	55.5
-36	685.5	-232.5	249	55.5
-36	694.5	-240	249	48
-55.5	699	-268.5	229.5	19.5
-73.5	699	-291	211.5	-3
-84	703.5	-306	201	-18
-103.5	700.5	-342	181.5	-54
-124.5	703.5	-346.5	160.5	-58.5
-132	702	-352.5	153	-64.5
-141	705	-354	144	-66
-151.5	699	-352.5	133.5	-64.5
-157.5	705	-367.5	127.5	-79.5
-183	700.5	-412.5	102	-124.5
-199.5	702	-429	85.5	-141
-208.5	711	-438	76.5	-150
-223.5	705	-451.5	61.5	-163.5
-234	705	-454.5	51	-166.5
-244.5	706.5	-463.5	40.5	-175.5
-262.5	712.5	-463.5	22.5	-175.5
-273	711	-478.5	12	-190.5
-286.5	694.5	-493.5	-1.5	-205.5
-300	708	-520.5	-15	-232.5
-298.5	712.5	-517.5	-13.5	-229.5
-324	709.5	-513	-39	-225
-339	706.5	-511.5	-54	-223.5
-346.5	714	-510	-61.5	-222
-355.5	705	-502.5	-70.5	-214.5
-363	706.5	-501	-78	-213
-385.5	700.5	-504	-100.5	-216
-400.5	694.5	-493.5	-115.5	-205.5
-408	702	-562.5	-123	-274.5
-411	697.5	-562.5	-126	-274.5
-411	696	-553.5	-126	-265.5
-408	711	-541.5	-123	-253.5
-399	711	-540	-114	-252
-403.5	714	-555	-118.5	-267
-397.5	708	-565.5	-112.5	-277.5
-400.5	712.5	-561	-115.5	-273
-402	711	-570	-117	-282
-396	715.5	-576	-111	-288
-355.5	724.5	-606	-70.5	-318
-334.5	738	-631.5	-49.5	-343.5
-339	730.5	-640.5	-54	-352.5
-340.5	730.5	-636	-55.5	-348
-333	729	-636	-48	-348
-337.5	732	-639	-52.5	-351
-339	729	-639	-54	-351
-334.5	733.5	-654	-49.5	-366
-336	726	-643.5	-51	-355.5
-337.5	721.5	-649.5	-52.5	-361.5
-336	732	-651	-51	-363
-339	727.5	-646.5	-54	-358.5
-337.5	733.5	-646.5	-52.5	-358.5
-339	730.5	-654	-54	-366
-339	730.5	-651	-54	-363
-336	729	-649.5	-51	-361.5
-343.5	727.5	-648	-58.5	-360
-340.5	732	-654	-55.5	-366
-342	729	-648	-57	-360
-343.5	735	-654	-58.5	-366
-343.5	730.5	-649.5	-58.5	-361.5
-343.5	729	-643.5	-58.5	-355.5
-346.5	729	-645	-61.5	-357
-342	733.5	-651	-57	-363
-339	729	-643.5	-54	-355.5
-346.5	733.5	-645	-61.5	-357
-339	733.5	-645	-54	-357
-342	729	-640.5	-57	-352.5
-348	732	-643.5	-63	-355.5
-354	735	-634.5	-69	-346.5
-348	723	-636	-63	-348
-346.5	732	-643.5	-61.5	-355.5
-342	739.5	-642	-57	-354
-342	724.5	-636	-57	-348
-348	733.5	-639	-63	-351
-337.5	735	-642	-52.5	-354
-322.5	733.5	-645	-37.5	-357
-336	730.5	-649.5	-51	-361.5
-328.5	736.5	-649.5	-43.5	-361.5
-331.5	733.5	-646.5	-46.5	-358.5
-321	736.5	-637.5	-36	-349.5
-331.5	727.5	-637.5	-46.5	-349.5
-331.5	736.5	-643.5	-46.5	-355.5
-324	732	-642	-39	-354
-330	724.5	-642	-45	-354
-324	732	-645	-39	-357
-318	732	-640.5	-33	-352.5
-321	736.5	-639	-36	-351
-319.5	738	-640.5	-34.5	-352.5
-315	727.5	-652.5	-30	-364.5
-307.5	729	-643.5	-22.5	-355.5
-294	736.5	-645	-9	-357
-297	735	-631.5	-12	-343.5
-301.5	732	-642	-16.5	-354
-316.5	738	-630	-31.5	-342
-316.5	726	-636	-31.5	-348
-324	732	-628.5	-39	-340.5
-336	727.5	-615	-51	-327
-345	729	-588	-60	-300
-360	738	-594	-75	-306
-357	738	-574.5	-72	-286.5
-355.5	744	-591	-70.5	-303
-369	745.5	-592.5	-84	-304.5
-375	736.5	-588	-90	-300
-388.5	738	-594	-103.5	-306
-414	747	-592.5	-129	-304.5
-420	738	-589.5	-135	-301.5
-432	745.5	-592.5	-147	-304.5
-436.5	735	-576	-151.5	-288
-450	736.5	-558	-165	-270
-456	742.5	-552	-171	-264
-468	736.5	-550.5	-183	-262.5
-478.5	733.5	-531	-193.5	-243
-501	742.5	-528	-216	-240
-522	727.5	-564	-237	-276
-528	727.5	-541.5	-243	-253.5
-547.5	729	-577.5	-262.5	-289.5
-555	723	-498	-270	-210
-573	718.5	-529.5	-288	-241.5
-579	714	-504	-294	-216
-582	712.5	-474	-297	-186
-586.5	699	-486	-301.5	-198
-583.5	691.5	-489	-298.5	-201
-592.5	681	-472.5	-307.5	-184.5
-594	690	-463.5	-309	-175.5
-586.5	676.5	-478.5	-301.5	-190.5
-583.5	669	-492	-298.5	-204
-586.5	669	-493.5	-301.5	-205.5
-579	661.5	-495	-294	-207
-594	654	-507	-309	-219
-589.5	652.5		-304.5	288
-586.5	657	-511.5	-301.5	-223.5
-579	655.5	-537	-294	-249
-583.5	646.5	-532.5	-298.5	-244.5
-586.5	660	-466.5	-301.5	-178.5
-577.5	652.5	-520.5	-292.5	-232.5
-570	643.5	-517.5	-285	-229.5
-577.5	652.5	-522	-292.5	-234
-571.5	649.5	-522	-286.5	-234
-571.5	646.5	-514.5	-286.5	-226.5
-582	652.5	-501	-297	-213
-576	660	-483	-291	-195
-579	657	-444	-294	-156
-570	681	-342	-285	-54
-528	693	-270	-243	18
-567	639	-466.5	-282	-178.5
-552	615	-552	-267	-264
-547.5	604.5	-544.5	-262.5	-256.5
-559.5	604.5	-537	-274.5	-249
-561	618	-483	-276	-195
-559.5	604.5	-481.5	-274.5	-193.5
-564	603	-489	-279	-201
-562.5	603	-489	-277.5	-201
-552	589.5	-502.5	-267	-214.5
-565.5	595.5	-511.5	-280.5	-223.5
-558	598.5	-481.5	-273	-193.5
-553.5	588		-268.5	288
-556.5	598.5	-463.5	-271.5	-175.5
-550.5	585	-460.5	-265.5	-172.5
-555	591	-457.5	-270	-169.5
-549	594	-457.5	-264	-169.5
-543	594	-451.5	-258	-163.5
-555	589.5	-439.5	-270	-151.5
-550.5	592.5	-441	-265.5	-153
-543	588	-442.5	-258	-154.5
-543	589.5	-450	-258	-162
-546	595.5	-445.5	-261	-157.5
-535.5	591	-433.5	-250.5	-145.5
-543	589.5	-438	-258	-150
-544.5	589.5	-427.5	-259.5	-139.5
-534	586.5	-435	-249	-147
-535.5			-250.5	288
-541.5	586.5	-426	-256.5	-138
-538.5	591	-412.5	-253.5	-124.5
-543	598.5	-415.5	-258	-127.5
-534	588	-415.5	-249	-127.5
-535.5	591	-405	-250.5	-117
-520.5	588	-394.5	-235.5	-106.5
-514.5	594	-391.5	-229.5	-103.5
-513	586.5	-393	-228	-105
-484.5	574.5	-408	-199.5	-120
-462	562.5	-415.5	-177	-127.5
-429	585	-385.5	-144	-97.5
-370.5	598.5	-340.5	-85.5	-52.5
-342	586.5	-348	-57	-60
-346.5	609	-321	-61.5	-33
-342	607.5	-289.5	-57	-1.5
-337.5	625.5	-264	-52.5	24
-345	631.5	-244.5	-60	43.5
-334.5	625.5	-223.5	-49.5	64.5
-334.5	636	-205.5	-49.5	82.5
-339	637.5	-165	-54	123
-334.5	643.5	-126	-49.5	162
-336	654	-111	-51	177
-318	654	-112.5	-33	175.5
-318	640.5	-97.5	-33	190.5
-309	651	-78	-24	210
-307.5	655.5	-60	-22.5	228
-300	654	-37.5	-15	250.5
-297	657	-34.5	-12	253.5
-277.5	655.5	-31.5	7.5	256.5
-261	651	-28.5	24	259.5
-252	654	-25.5	33	262.5
-249	649.5	-18	36	270
-240	654	-4.5	45	283.5
-240	654	-3	45	285
-240	651	12	45	300
-228	652.5	19.5	57	307.5
-219	654	22.5	66	310.5
-214.5	651	30	70.5	318
-216	660	42	69	330
-204	651	40.5	81	328.5
-195	648	52.5	90	340.5
-190.5	658.5	61.5	94.5	349.5
-187.5	652.5	60	97.5	348
-184.5	654	61.5	100.5	349.5
-190.5	651	46.5	94.5	334.5
-187.5	651	52.5	97.5	340.5
-180	645	55.5	105	343.5
-187.5	652.5	54	97.5	342
-190.5	649.5	55.5	94.5	343.5
-190.5	652.5	51	94.5	339
-192	648	54	93	342
-196.5	646.5	43.5	88.5	331.5
-198		42	87	330
-196.5	646.5	48	88.5	336
-192	645	43.5	93	331.5
-190.5	655.5	49.5	94.5	337.5
-201	649.5	48	84	336
-186	649.5	43.5	99	331.5
-193.5	651	51	91.5	339
-204	645	49.5	81	337.5
-195	651	46.5	90	334.5
-196.5	649.5	43.5	88.5	331.5
-192	643.5	51	93	339
-192	648	57	93	345
-192	643.5	49.5	93	337.5
-190.5	642	49.5	94.5	337.5
-193.5	646.5	48	91.5	336
-192	649.5	52.5	93	340.5
-195	648	51	90	339
-196.5	646.5	54	88.5	342
-192	637.5	45	93	333
-198	648	52.5	87	340.5
-199.5	649.5	48	85.5	336
-193.5	645	51	91.5	339
-199.5	646.5	51	85.5	339
-192	654	46.5	93	334.5
-192	640.5	48	93	336
-190.5	649.5	51	94.5	339
-193.5	648	43.5	91.5	331.5
-195	640.5	46.5	90	334.5
-195	648	46.5	90	334.5
-196.5	651	52.5	88.5	340.5
-193.5	645	54	91.5	342
-187.5	652.5	51	97.5	339
-193.5	643.5	45	91.5	333
-187.5	649.5	48	97.5	336
-195	651	45	90	333
-196.5	637.5	49.5	88.5	337.5
-201	649.5	46.5	84	334.5
-205.5	646.5	42	79.5	330
-207	642	36	78	324
-207	654	39	78	327
-210	654	40.5	75	328.5
-208.5	646.5	24	76.5	312
-208.5	652.5	21	76.5	309
-217.5	654	16.5	67.5	304.5
-222	646.5	10.5	63	298.5
-223.5	655.5	-1.5	61.5	286.5
-225	646.5	-13.5	60	274.5
-220.5	643.5	-15	64.5	273
-228	645	-25.5	57	262.5
-234	646.5	-37.5	51	250.5
-234	643.5	-43.5	51	244.5
-241.5	649.5	-40.5	43.5	247.5
-244.5	642	-52.5	40.5	235.5
-252	643.5	-51	33	237
-256.5	654	-51	28.5	237
-262.5	645	-66	22.5	222
-270	651	-66	15	222
-283.5	642	-64.5	1.5	223.5
-274.5	642	-69	10.5	219
-289.5	649.5	-87	-4.5	201
-291	639	-96	-6	192
-285	639	-96	0	192
-288	642	-102	-3	186
-288	636	-109.5	-3	178.5
-291	630	-109.5	-6	178.5
-295.5	636	-121.5	-10.5	166.5
-285	631.5	-127.5	0	160.5
-295.5	630	-133.5	-10.5	154.5
-307.5	631.5	-136.5	-22.5	151.5
-301.5	627	-154.5	-16.5	133.5
-298.5	625.5	-157.5	-13.5	130.5
-313.5	621	-162	-28.5	126
-318	621	-168	-33	120
-315	621	-171	-30	117
-319.5	622.5	-180	-34.5	108
-322.5	615	-190.5	-37.5	97.5
-339	607.5	-196.5	-54	91.5
-337.5	607.5	-196.5	-52.5	91.5
-346.5	603	-201	-61.5	87
-349.5	610.5	-207	-64.5	81
-357	606	-214.5	-72	73.5
-355.5	595.5	-225	-70.5	63
-375	594	-229.5	-90	58.5
-382.5	592.5	-228	-97.5	60
-405	598.5	-235.5	-120	52.5
-415.5	594	-243	-130.5	45
-415.5	594	-252	-130.5	36
-423	601.5	-262.5	-138	25.5
-456	609	-276	-171	12
-460.5	597	-285	-175.5	3
-477	591	-295.5	-192	-7.5
-481.5	595.5	-307.5	-196.5	-19.5
-472.5	595.5	-304.5	-187.5	-16.5
-472.5	600	-304.5	-187.5	-16.5
-466.5	601.5	-306	-181.5	-18
-477	607.5	-312	-192	-24
-477	604.5	-304.5	-192	-16.5
-469.5	615	-288	-184.5	0
-460.5	630	-285	-175.5	3
-468	640.5	-276	-183	12
-463.5	618	-301.5	-178.5	-13.5
-460.5	619.5	-300	-175.5	-12
-472.5	627	-295.5	-187.5	-7.5
-471	636	-285	-186	3
-454.5	619.5	-294	-169.5	-6
-441	607.5	-340.5	-156	-52.5
-433.5	603	-328.5	-148.5	-40.5
-430.5	610.5	-336	-145.5	-48
-430.5	625.5	-336	-145.5	-48
-421.5	612	-333	-136.5	-45
-420	619.5	-334.5	-135	-46.5
-414	624	-331.5	-129	-43.5
-403.5	616.5	-331.5	-118.5	-43.5
-415.5	624	-331.5	-130.5	-43.5
-406.5		-333	-121.5	-45
-411	621	-331.5	-126	-43.5
-403.5	609	-346.5	-118.5	-58.5
-391.5	621	-355.5	-106.5	-67.5
-393	615	-373.5	-108	-85.5
-385.5	627	-375	-100.5	-87
-387	612	-373.5	-102	-85.5
-382.5	607.5	-375	-97.5	-87
-417	631.5	-366	-132	-78
-427.5	627	-346.5	-142.5	-58.5
-424.5	627	-346.5	-139.5	-58.5
-415.5	616.5	-369	-130.5	-81
-414	607.5	-379.5	-129	-91.5
-445.5	615	-373.5	-160.5	-85.5
-442.5	627	-385.5	-157.5	-97.5
-447	622.5	-373.5	-162	-85.5
-444	627	-361.5	-159	-73.5
-415.5	660	-360	-130.5	-72
-403.5	663	-369	-118.5	-81
-406.5	678	-372	-121.5	-84
-412.5	673.5	-352.5	-127.5	-64.5
-396	666	-369	-111	-81
-400.5	672	-388.5	-115.5	-100.5
-388.5	672	-387	-103.5	-99
-391.5	667.5	-375	-106.5	-87
-393			-108	288
-390	675	-387	-105	-99
-394.5	672	-387	-109.5	-99
-387	684	-363	-102	-75
-381	687	-366	-96	-78
-384	682.5	-376.5	-99	-88.5
-373.5	685.5	-378	-88.5	-90
-352.5	693	-357	-67.5	-69
-349.5	700.5	-378	-64.5	-90
-349.5	694.5	-366	-64.5	-78
-340.5	691.5	-367.5	-55.5	-79.5
-345	694.5	-382.5	-60	-94.5
-334.5	694.5	-397.5	-49.5	-109.5
-339	693	-384	-54	-96
-339	696	-396	-54	-108
-346.5	688.5	-403.5	-61.5	-115.5
-346.5	684	-411	-61.5	-123
-357	687	-418.5	-72	-130.5
-363	678	-415.5	-78	-127.5
-369	681	-429	-84	-141
-378	687	-424.5	-93	-136.5
-376.5	681	-430.5	-91.5	-142.5
-385.5	673.5	-436.5	-100.5	-148.5
-394.5	675	-456	-109.5	-168
-393	672	-453	-108	-165
-405	670.5	-469.5	-120	-181.5
-421.5	669	-511.5	-136.5	-223.5
-429	660	-537	-144	-249
-420	651	-621	-135	-333
-424.5	646.5	-633	-139.5	-345
-421.5	645	-630	-136.5	-342
-411	663	-628.5	-126	-340.5
-403.5	664.5	-634.5	-118.5	-346.5
-409.5	657	-624	-124.5	-336
-408	658.5	-633	-123	-345
-405	660	-645	-120	-357
-414	655.5	-615	-129	-327
-412.5	667.5	-616.5	-127.5	-328.5
-417	664.5	-615	-132	-327
-418.5	648	-628.5	-133.5	-340.5
-399	666	-639	-114	-351
-391.5	679.5	-645	-106.5	-357
-385.5	676.5	-639	-100.5	-351
-373.5	676.5	-652.5	-88.5	-364.5
-361.5	670.5	-648	-76.5	-360
-369	676.5	-628.5	-84	-340.5
-378	678	-607.5	-93	-319.5
-375	682.5	-586.5	-90	-298.5
-381	691.5	-562.5	-96	-274.5
-378	687	-553.5	-93	-265.5
-381	687	-556.5	-96	-268.5
-384	678	-576	-99	-288
-391.5	681	-594	-106.5	-306
-394.5	681	-583.5	-109.5	-295.5
-387	678	-583.5	-102	-295.5
-388.5	688.5	-592.5	-103.5	-304.5
-394.5	679.5	-591	-109.5	-303
-402	687	-597	-117	-309
-396	676.5	-598.5	-111	-310.5
-393	678	-594	-108	-306
-393	684	-606	-108	-318
-390	682.5	-609	-105	-321
-384	676.5	-619.5	-99	-331.5
-367.5	687	-610.5	-82.5	-322.5
-366	681	-588	-81	-300
-348	679.5	-577.5	-63	-289.5
-330	693	-558	-45	-270
-316.5	685.5	-499.5	-31.5	-211.5
-292.5	682.5	-457.5	-7.5	-169.5
-273	685.5	-459	12	-171
-256.5	681	-462	28.5	-174
-249	682.5	-456	36	-168
-237	675	-438	48	-150
-214.5	678	-429	70.5	-141
-201	675	-414	84	-126
-169.5	681	-399	115.5	-111
-150	675	-379.5	135	-91.5
-130.5	670.5	-376.5	154.5	-88.5
-115.5	672	-366	169.5	-78
-88.5	673.5	-352.5	196.5	-64.5
-79.5	678	-342	205.5	-54
-63	673.5	-337.5	222	-49.5
-61.5	669	-339	223.5	-51
-40.5	675	-331.5	244.5	-43.5
-27	660	-307.5	258	-19.5
-22.5	666		262.5	288
-13.5	666	-273	271.5	15
-16.5	658.5	-271.5	268.5	16.5
-13.5	654	-267	271.5	21
-16.5	660	-255	268.5	33
-18	658.5	-255	267	33
-16.5	652.5	-253.5	268.5	34.5
-9	651	-250.5	276	37.5
-7.5	640.5	-249	277.5	39
-9	648	-234	276	54
-3	645	-207	282	81
-4.5	637.5	-196.5	280.5	91.5
4.5	643.5	-189	289.5	99
6	631.5	-178.5	291	109.5
-4.5	636	-177	280.5	111
-4.5	643.5	-175.5	280.5	112.5
-13.5	633	-178.5	271.5	109.5
-21	634.5	-190.5	264	97.5
-24		-195	261	93
-25.5			259.5	288
-51	636	-205.5	234	82.5
-45	639	-189	240	99
-57	631.5	-210	228	78
-48	637.5	-201	237	87
-51	639	-201	234	87
-54	633	-201	231	87
-58.5	636	-198	226.5	90
-48	636	-198	237	90
-51	630	-192	234	96
-51			234	288
-54	642	-198	231	90
-52.5	633	-198	232.5	90
-49.5	633	-186	235.5	102
-54	633	-198	231	90
-46.5	633	-193.5	238.5	94.5
-51	637.5	-196.5	234	91.5
-52.5	639	-195	232.5	93
-48	628.5	-186	237	102
-52.5	639	-187.5	232.5	100.5
-49.5	625.5	-190.5	235.5	97.5
-49.5	634.5	-190.5	235.5	97.5
-49.5	633	-190.5	235.5	97.5
-54	631.5	-189	231	99
-49.5	634.5	-189	235.5	99
-49.5	646.5	-181.5	235.5	106.5
-46.5	637.5	-193.5	238.5	94.5
-54	631.5	-186	231	102
-42	639	-190.5	243	97.5
-57	631.5	-189	228	99
-46.5	633	-181.5	238.5	106.5
-64.5	643.5	-174	220.5	114
-55.5	627	-157.5	229.5	130.5
-55.5	633	-144	229.5	144
-51	631.5	-141	234	147
-45	628.5	-118.5	240	169.5
-31.5	640.5	-87	253.5	201
-27	636	-64.5	258	223.5
-22.5	637.5	-51	262.5	237
-12	643.5	-39	273	249
-19.5	639	-36	265.5	252
-25.5	637.5	-28.5	259.5	259.5
-25.5	649.5	-25.5	259.5	262.5
-25.5	634.5	-33	259.5	255
-19.5	636	-21	265.5	267
-13.5	640.5	-18	271.5	270
-25.5	631.5	-6	259.5	282
-30	639	-7.5	255	280.5
-24	640.5	-6	261	282
-31.5	636	-7.5	253.5	280.5
-19.5	637.5	9	265.5	297
-31.5	637.5	6	253.5	294
-27	637.5	6	258	294
-34.5	637.5	13.5	250.5	301.5
-43.5	634.5	6	241.5	294
-46.5	630	12	238.5	300
-52.5	630	12	232.5	300
-54	624	19.5	231	307.5
-60		19.5	225	307.5
-63	640.5	31.5	222	319.5
-70.5	627	24	214.5	312
-73.5	633	27	211.5	315
-81	636	28.5	204	316.5
-81	624	22.5	204	310.5
-93	625.5	30	192	318
-97.5	636	33	187.5	321
-103.5	627	24	181.5	312
-117	624	42	168	330
-130.5	622.5	33	154.5	321
-133.5	616.5	27	151.5	315
-147	619.5	36	138	324
-141	612	22.5	144	310.5
-147	606	21	138	309
-153	615	16.5	132	304.5
-157.5	610.5	16.5	127.5	304.5
-157.5	616.5	28.5	127.5	316.5
-168	621	28.5	117	316.5
-168	610.5	22.5	117	310.5
-168	606	18	117	306
-180	612	19.5	105	307.5
-178.5	598.5	7.5	106.5	295.5
-187.5	607.5	10.5	97.5	298.5
-177	615	16.5	108	304.5
-183	603	12	102	300
-184.5	600	13.5	100.5	301.5
-181.5	613.5	16.5	103.5	304.5
-181.5	604.5	13.5	103.5	301.5
-181.5	612	18	103.5	306
-180	615	15	105	303
-184.5	607.5	22.5	100.5	310.5
-174	615	21	111	309
-178.5	615	22.5	106.5	310.5
-184.5	610.5	19.5	100.5	307.5
-180	616.5	21	105	309
-184.5	609	15	100.5	303
-186	610.5	24	99	312
-183	624	30	102	318
-177	607.5	25.5	108	313.5
-180	615	16.5	105	304.5
-177	618	21	108	309
-177	613.5	19.5	108	307.5
-172.5	616.5	21	112.5	309
-177	622.5	25.5	108	313.5
-183	618	21	102	309
-177	618	25.5	108	313.5
-174	615	25.5	111	313.5
-181.5	621	19.5	103.5	307.5
-175.5	624	31.5	109.5	319.5
-177	610.5	18	108	306
-180	616.5	18	105	306
-177	628.5	34.5	108	322.5
-186	618	16.5	99	304.5
-181.5	610.5	18	103.5	306
-181.5	621	30	103.5	318
-174	619.5	30	111	318
-181.5	618	28.5	103.5	316.5
-193.5	630	37.5	91.5	325.5
-174	631.5	57	111	345
-199.5	627	36	85.5	324
-207	627	19.5	78	307.5
-204	613.5	10.5	81	298.5
-195	622.5	4.5	90	292.5
