Mag X,Mag Y,Mag Z
-345,655.5,18
-345,661.5,31.5
-340.5,651,27
-330,655.5,34.5
-328.5,657,46.5
-312,654,52.5
-307.5,652.5,61.5
-301.5,651,66
-291,649.5,67.5
-274.5,657,
-276,654,63
-271.5,643.5,66
-271.5,646.5,69
-256.5,646.5,67.5
-249,637.5,64.5
-255,649.5,72
-237,645,69
-235.5,648,78
-228,649.5,84
-229.5,651,69
-213,646.5,79.5
-216,654,82.5
-216,649.5,76.5
-208.5,649.5,85.5
-217.5,651,93
-199.5,648,88.5
-199.5,648,88.5
-202.5,646.5,90
-198,645,82.5
-202.5,649.5,73.5
-201,643.5,73.5
-198,639,64.5
-204,648,67.5
-201,642,64.5
-198,639,67.5
-199.5,651,63
-202.5,643.5,70.5
-198,639,70.5
-202.5,651,69
-202.5,634.5,69
-199.5,645,67.5
-202.5,645,67.5
-193.5,639,61.5
-193.5,642,64.5
-199.5,642,69
-198,636,63
-201,645,69
-199.5,646.5,63
-199.5,640.5,60
-199.5,648,64.5
-201,645,60
-199.5,631.5,58.5
-196.5,652.5,69
-193.5,646.5,66
-199.5,639,66
-204,648,64.5
-196.5,642,66
-196.5,634.5,64.5
-195,643.5,69
-198,640.5,69
-201,642,61.5
-198,643.5,60
-204,640.5,60
-192,643.5,64.5
-202.5,648,60
-199.5,640.5,61.5
-201,639,66
-202.5,646.5,69
-205.5,642,57
-196.5,642,64.5
-201,648,70.5
-201,637.5,66
-202.5,640.5,60
-201,639,57
-201,637.5,60
-204,649.5,69
-196.5,646.5,63
-201,646.5,63
-201,648,60
-198,643.5,58.5
-199.5,645,45
-207,648,45
-208.5,648,48
-201,640.5,49.5
