Mag X	Mag Y	Mag Z			
-522	688.5	-348		-245	-39
-528	678	-354		-251	-45
-532.5	684	-352.5		-255.5	-43.5
-540	676.5	-352.5		-263	-43.5
-531	679.5	-349.5		-254	-40.5
-540	679.5	-352.5		-263	-43.5
-537	678	-352.5		-260	-43.5
-531	676.5	-348		-254	-39
-529.5	678	-345		-252.5	-36
-529.5	669	-354		-252.5	-45
-535.5	675	-358.5		-258.5	-49.5
-540	676.5	-370.5		-263	-61.5
-528	669	-360		-251	-51
-507	682.5	-340.5		-230	-31.5
-480	681	-312		-203	-3
-465	679.5	-292.5		-188	16.5
-463.5	678	-279		-186.5	30
-445.5	672	-253.5		-168.5	55.5
-435	672	-222		-158	87
-423	670.5	-216		-146	93
-417	669	-208.5		-140	100.5
-400.5	676.5	-190.5		-123.5	118.5
-388.5	669	-175.5		-111.5	133.5
-384	666	-145.5		-107	163.5
-378	670.5	-108		-101	201
-366	658.5	-70.5		-89	238.5
-343.5	670.5	-39		-66.5	270
-337.5	675	-28.5		-60.5	280.5
-316.5	675	1.5		-39.5	310.5
-310.5	676.5	15		-33.5	324
-298.5	666			-21.5	309
-294	664.5	52.5		-17	361.5
-297	664.5	64.5		-20	373.5
-282	655.5	60		-5	369
-273	661.5	61.5		4	370.5
-268.5	660	54		8.5	363
-267	654	57		10	366
-250.5	660	60		26.5	369
-247.5	651	57		29.5	366
-244.5	655.5	63		32.5	372
-232.5	654	73.5		44.5	382.5
-222	648	75		55	384
-228	657	79.5		49	388.5
-217.5	646.5	79.5		59.5	388.5
-210	642	79.5		67	388.5
-205.5	646.5	81		71.5	390
-205.5	651	64.5		71.5	373.5
-204	643.5	75		73	384
-204	649.5	75		73	384
-196.5	645	70.5		80.5	379.5
-204	654	69		73	378
-210	649.5	72		67	381
-210	643.5	75		67	384
-204	652.5	72		73	381
-202.5	646.5	75		74.5	384
-208.5	649.5	72		68.5	381
-211.5	646.5	73.5		65.5	382.5
-205.5	639	72		71.5	381
-210	651	72		67	381
-205.5	648	64.5		71.5	373.5
-207	649.5	72		70	381
-201	646.5	69		76	378
-211.5	645	72		65.5	381
-207	652.5	70.5		70	379.5
-213	649.5	73.5		64	382.5
-204	642	73.5		73	382.5
-202.5	655.5	72		74.5	381
-196.5	646.5	69		80.5	378
