-138	-211.5	238.5
-165	-195	237
-171	-186	243
-177	-178.5	241.5
-178.5	-202.5	229.5
-178.5	-193.5	226.5
-183	-174	240
-207	-145.5	238.5
-229.5	-96	
-240	-55.5	247.5
-246	9	253.5
-232.5	85.5	258
-195	169.5	261
-160.5	222	264
-123	259.5	261
-73.5	301.5	262.5
-42	319.5	264
-6	328.5	259.5
40.5	339	250.5
72	343.5	259.5
88.5	340.5	250.5
75	345	244.5
78	345	259.5
81	342	264
73.5	336	261
73.5	319.5	276
76.5	316.5	274.5
