Bad GPS CRC

Command:
Command: IIS2MDC Calibrate




















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW


Mag X: 139.50
Mag Y: 769.50
Mag Z: 1236.00


Mag X: 135.00
Mag Z: 1242.00


Mag X: 133.50
Mag Y: 765.00
Mag Z: 1242.00


Mag X: 139.50
Mag Y: 759.00
Mag Z: 1237.50


Mag X: 135.00
Mag Y: 771.00
Mag Z: 1239.00


Mag X: 138.00
Mag Y: 769.50
Mag Z: 1242.00


Mag X: 138.00
Mag Y: 771.00
Mag Z: 1243.50


Mag X: 136.50
Mag Y: 760.50
Mag Z: 1233.00


Mag X: 133.50
Mag Y: 765.00
Mag Z: 1242.00


Mag X: 141.00
Mag Z: 1240.50


Mag X: 136.50
Mag Y: 762.00
Mag Z: 1246.50


Mag X: 138.00
Mag Y: 769.50
Mag Z: 1242.00


Mag X: 139.50
Mag Z: 1240.50


Mag X: 139.50
Mag Y: 760.50
Mag Z: 1243.50


Mag X: 130.50
Mag Y: 762.00
Mag Z: 1234.50


Mag X: 136.50
Mag Z: 1239.00


Mag X: 138.00
Mag Y: 765.00
Mag Z: 1236.00


Mag X: 133.50
Mag Y: 766.50
Mag Z: 1236.00


Mag X: 138.00
Mag Y: 763.50
Mag Z: 1236.00


Mag X: 133.50
Mag Y: 766.50
Mag Z: 1245.00


Mag X: 133.50
Mag Y: 763.50
Mag Z: 1234.50


Mag X: 142.50
Mag Y: 769.50
Mag Z: 1242.00


Mag X: 135.00
Mag Y: 766.50
Mag Z: 1233.00


Mag X: 135.00
Mag Y: 762.00
Mag Z: 1233.00


Mag X: 135.00
Mag Y: 768.00
Mag Z: 1234.50


Mag X: 138.00
Mag Y: 771.00
Mag Z: 1236.00


Mag X: 135.00
Mag Y: 772.50
Mag Z: 1236.00


Mag X: 126.00
Mag Y: 766.50
Mag Z: 1231.50


Mag X: 132.00
Mag Y: 768.00
Mag Z: 1242.00


Mag X: 129.00
Mag Z: 1237.50


Mag X: 136.50
Mag Y: 765.00
Mag Z: 1239.00


Mag X: 135.00
Mag Y: 768.00
Mag Z: 1231.50


Mag X: 132.00
Mag Y: 762.00
Mag Z: 1239.00


Mag X: 138.00
Mag Y: 768.00
Mag Z: 1240.50


Mag X: 132.00
Mag Z: 1240.50


Mag X: 130.50
Mag Y: 763.50
Mag Z: 1239.00


Mag X: 129.00
Mag Y: 766.50
Mag Z: 1245.00


Mag X: 138.00
Mag Y: 762.00
Mag Z: 1242.00


Mag X: 132.00
Mag Y: 771.00
Mag Z: 1240.50


Mag X: 135.00
Mag Y: 762.00
Mag Z: 1245.00


Mag X: 130.50
Mag Y: 763.50
Mag Z: 1242.00


Mag X: 138.00
Mag Y: 760.50
Mag Z: 1246.50


Mag X: 135.00
Mag Z: 1252.50


Mag X: 135.00
Mag Y: 759.00
Mag Z: 1248.00


Mag X: 147.00
Mag Y: 763.50
Mag Z: 1251.00


Mag X: 144.00
Mag Y: 757.50
Mag Z: 1249.50


Mag X: 138.00
Mag Y: 760.50
Mag Z: 1252.50


Mag X: 141.00
Mag Y: 763.50
Mag Z: 1242.00


Mag X: 135.00
Mag Y: 765.00
Mag Z: 1248.00


Mag X: 141.00
Mag Y: 760.50
Mag Z: 1245.00


Mag X: 132.00
Mag Y: 766.50
Mag Z: 1255.50


Mag X: 138.00
Mag Y: 763.50
Mag Z: 1248.00


Mag X: 142.50


Mag X: 138.00
Mag Y: 759.00
Mag Z: 1246.50


Mag X: 145.50
Mag Y: 768.00
Mag Z: 1248.00


Mag X: 136.50
Mag Y: 765.00
Mag Z: 1245.00


Mag X: 141.00
Mag Y: 768.00
Mag Z: 1246.50


Mag X: 130.50
Mag Y: 765.00
Mag Z: 1245.00


Mag X: 135.00
Mag Y: 763.50
Mag Z: 1239.00


Mag X: 132.00
Mag Y: 765.00
Mag Z: 1236.00


Mag X: 135.00
Mag Y: 766.50
Mag Z: 1240.50


Mag X: 138.00
Mag Y: 765.00
Mag Z: 1239.00


Mag X: 127.50
Mag Y: 759.00
Mag Z: 1239.00


Mag X: 136.50
Mag Y: 762.00
Mag Z: 1233.00


Mag X: 132.00
Mag Y: 759.00
Mag Z: 1227.00


Mag X: 132.00
Mag Y: 766.50
Mag Z: 1234.50


Mag X: 135.00
Mag Y: 768.00
Mag Z: 1237.50


Mag X: 133.50
Mag Y: 765.00
Mag Z: 1236.00


Mag X: 132.00
Mag Y: 763.50
Mag Z: 1234.50


Mag X: 136.50
Mag Y: 765.00
Mag Z: 1237.50


Mag X: 133.50
Mag Y: 763.50
Mag Z: 1237.50


Mag X: 144.00
Mag Y: 766.50
Mag Z: 1237.50


Mag X: 136.50
Mag Y: 766.50
Mag Z: 1240.50


Mag X: 138.00
Mag Y: 766.50
Mag Z: 1242.00


Mag X: 147.00
Mag Y: 766.50
Mag Z: 1242.00


Mag X: 168.00
Mag Y: 771.00
Mag Z: 1242.00


Mag X: 178.50
Mag Y: 759.00
Mag Z: 1234.50


Mag X: 192.00
Mag Y: 763.50
Mag Z: 1228.50


Mag X: 199.50
Mag Y: 766.50
Mag Z: 1209.00


Mag X: 199.50
Mag Z: 1207.50


Mag X: 208.50
Mag Y: 762.00
Mag Z: 1204.50


Mag X: 214.50
Mag Y: 760.50
Mag Z: 1185.00


Mag X: 219.00
Mag Y: 768.00
Mag Z: 1168.50


Mag X: 228.00
Mag Y: 760.50
Mag Z: 1150.50


Mag X: 231.00
Mag Y: 768.00
Mag Z: 1137.00


Mag X: 225.00
Mag Y: 759.00
Mag Z: 1111.50


Mag X: 225.00
Mag Y: 757.50
Mag Z: 1080.00


Mag X: 234.00
Mag Y: 756.00
Mag Z: 1045.50


Mag X: 231.00
Mag Y: 762.00
Mag Z: 1039.50


Mag X: 231.00
Mag Y: 756.00
Mag Z: 1021.50


Mag X: 226.50
Mag Y: 759.00
Mag Z: 1003.50


Mag X: 225.00
Mag Y: 763.50
Mag Z: 985.50


Mag X: 226.50
