
Command:
Command: IIS2MDC Calibrate





















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW
16------------4

Mag Z: -615.00


Mag X: -402.00
Mag Y: 655.50
Mag Z: -621.00


Mag X: -405.00
Mag Y: 669.00
Mag Z: -622.50


Mag X: -400.50
Mag Y: 652.50
Mag Z: -616.50


Mag X: -400.50
Mag Y: 658.50
Mag Z: -618.00


Mag X: -405.00
Mag Y: 669.00
Mag Z: -618.00


Mag X: -397.50
Mag Y: 658.50
Mag Z: -604.50


Mag X: -405.00
Mag Y: 669.00
Mag Z: -609.00


Mag X: -402.00
Mag Y: 663.00
Mag Z: -609.00


Mag X: -408.00
Mag Y: 661.50
Mag Z: -606.00


Mag X: -396.00
Mag Y: 664.50


Mag X: -411.00
Mag Y: 654.00
Mag Z: -610.50


Mag X: -405.00
Mag Y: 664.50
Mag Z: -609.00


Mag X: -405.00
Mag Y: 669.00
Mag Z: -604.50


Mag X: -397.50
Mag Y: 657.00
Mag Z: -604.50


Mag X: -379.50
Mag Y: 658.50
Mag Z: -624.00


Mag X: -358.50
Mag Y: 667.50
Mag Z: -640.50


Mag X: -364.50
Mag Y: 666.00
Mag Z: -621.00


Mag X: -351.00
Mag Y: 661.50
Mag Z: -616.50


Mag X: -354.00
Mag Y: 666.00
Mag Z: -600.00


Mag X: -348.00
Mag Y: 657.00
Mag Z: -597.00


Mag X: -348.00
Mag Z: -585.00


Mag X: -357.00
Mag Y: 663.00
Mag Z: -562.50


Mag X: -349.50
Mag Y: 675.00
Mag Z: -553.50


Mag X: -345.00
Mag Y: 667.50


Mag X: -342.00
Mag Y: 663.00
Mag Z: -550.50


Mag X: -334.50
Mag Y: 672.00
Mag Z: -553.50


Mag X: -324.00
Mag Y: 670.50
Mag Z: -561.00


Mag X: -315.00
Mag Y: 663.00
Mag Z: -559.50


Mag X: -318.00
Mag Y: 670.50
Mag Z: -564.00


Mag X: -319.50
Mag Y: 666.00
Mag Z: -546.00


Mag X: -331.50
Mag Y: 672.00
Mag Z: -531.00


Mag X: -337.50
Mag Y: 675.00
Mag Z: -525.00


Mag X: -346.50
Mag Y: 670.50
Mag Z: -522.00


Mag X: -331.50
Mag Y: 666.00
Mag Z: -519.00


Mag X: -333.00
Mag Y: 672.00
Mag Z: -522.00


Mag X: -331.50
Mag Y: 675.00
Mag Z: -514.50


Mag X: -336.00
Mag Y: 675.00
Mag Z: -505.50


Mag X: -346.50
Mag Y: 685.50
Mag Z: -502.50


Mag X: -354.00
Mag Y: 672.00
Mag Z: -486.00


Mag X: -354.00
Mag Y: 675.00
Mag Z: -477.00


Mag X: -366.00
Mag Y: 685.50
Mag Z: -468.00


Mag X: -375.00
Mag Y: 678.00
Mag Z: -453.00


Mag X: -388.50
Mag Y: 672.00
Mag Z: -441.00


Mag X: -403.50
Mag Y: 687.00
Mag Z: -435.00


Mag X: -405.00
Mag Y: 682.50
Mag Z: -429.00


Mag X: -411.00
Mag Y: 679.50
Mag Z: -426.00


Mag X: -427.50
Mag Y: 679.50
Mag Z: -400.50


Mag X: -442.50
Mag Y: 675.00
Mag Z: -382.50


Mag X: -447.00
Mag Y: 682.50
Mag Z: -382.50


Mag X: -445.50
Mag Y: 681.00
Mag Z: -363.00


Mag X: -457.50
Mag Y: 690.00
Mag Z: -337.50


Mag X: -468.00
Mag Y: 691.50
Mag Z: -316.50


Mag X: -466.50
Mag Y: 694.50
Mag Z: -306.00


Mag X: -474.00
Mag Y: 690.00
Mag Z: -292.50


Mag X: -480.00
Mag Y: 705.00
Mag Z: -274.50


Mag X: -475.50
Mag Y: 699.00
Mag Z: -256.50


Mag X: -481.50
Mag Y: 697.50
Mag Z: -229.50


Mag X: -489.00
Mag Y: 702.00
Mag Z: -228.00


Mag X: -492.00
Mag Y: 691.50
Mag Z: -273.00


Mag X: -499.50
Mag Y: 688.50
Mag Z: -288.00


Mag X: -513.00
Mag Y: 678.00
Mag Z: -334.50


Mag X: -507.00
Mag Y: 663.00
Mag Z: -340.50


Mag X: -517.50
Mag Y: 670.50
Mag Z: -331.50


Mag X: -516.00
Mag Y: 681.00
Mag Z: -301.50


Mag X: -513.00
Mag Y: 658.50
Mag Z: -331.50


Mag X: -526.50
Mag Y: 661.50
Mag Z: -322.50


Mag X: -516.00
Mag Y: 667.50
Mag Z: -325.50


Mag X: -516.00
Mag Y: 660.00
Mag Z: -321.00


Mag X: -522.00
Mag Y: 666.00
Mag Z: -330.00


Mag X: -513.00
Mag Y: 663.00
Mag Z: -322.50


Mag X: -520.50
Mag Y: 675.00
Mag Z: -300.00


Mag X: -522.00
Mag Y: 672.00
Mag Z: -336.00


Mag X: -510.00
Mag Y: 666.00
Mag Z: -334.50


Mag X: -516.00
Mag Y: 664.50
Mag Z: -333.00


Mag X: -523.50
Mag Y: 673.50
Mag Z: -340.50


Mag X: -510.00
Mag Y: 663.00
Mag Z: -342.00


