Mag X,Mag Y,Mag Z,heading
276.0,213.0,193.5,35.03379618788402
276.0,214.5,195.0,35.242036558652195
279.0,208.5,196.5,35.15707780320757
277.5,,196.5,35.30261950246754
280.5,208.5,195.0,34.80653091290825
276.0,213.0,198.0,35.65532809790031
274.5,,195.0,35.38932033090653
274.5,213.0,201.0,36.21309649317615
274.5,213.0,199.5,36.008752722934
271.5,,198.0,36.10258933075433
274.5,214.5,196.5,35.59686762578731
274.5,211.5,196.5,35.59686762578731
274.5,211.5,207.0,37.01988625483148
282.0,211.5,196.5,34.86911202917545
279.0,214.5,201.0,35.77011375627228
273.0,207.0,195.0,35.53767779197438
277.5,210.0,198.0,35.508370490431616
280.5,216.0,196.5,35.01257842498646
276.0,208.5,201.0,36.06438615741825
280.5,208.5,195.0,34.80653091290825
268.5,217.5,195.0,35.989290453182356
273.0,210.0,202.5,36.56648064363154
268.5,,196.5,36.198291676792195
280.5,,210.0,36.82084305208247
273.0,213.0,196.5,35.745593134704144
270.0,201.0,193.5,35.62790729142092
277.5,207.0,201.0,35.91672830955151
271.5,210.0,195.0,35.687118714215615
276.0,217.5,199.5,35.86038486322763
274.5,216.0,201.0,36.21309649317615
279.0,,195.0,34.95065141187513
273.0,208.5,196.5,35.745593134704144
277.5,213.0,199.5,35.713072487503005
273.0,216.0,196.5,35.745593134704144
268.5,211.5,195.0,35.989290453182356
268.5,211.5,198.0,36.406182936712376
277.5,213.0,196.5,35.30261950246754
276.0,208.5,196.5,35.44921294279824
274.5,210.0,196.5,35.59686762578731
271.5,210.0,198.0,36.10258933075433
276.0,,201.0,36.06438615741825
270.0,217.5,196.5,36.046295372365854
279.0,217.5,201.0,35.77011375627228
268.5,219.0,198.0,36.406182936712376
274.5,210.0,202.5,36.41637851988605
279.0,213.0,204.0,36.17362904577208
274.5,213.0,198.0,35.8033441083711
273.0,213.0,196.5,35.745593134704144
276.0,216.0,196.5,35.44921294279824
277.5,208.5,196.5,35.30261950246754
277.5,207.0,196.5,35.30261950246754
276.0,213.0,195.0,35.242036558652195
279.0,214.5,195.0,34.95065141187513
273.0,,193.5,35.32867900212013
274.5,213.0,198.0,35.8033441083711
274.5,211.5,195.0,35.38932033090653
271.5,207.0,198.0,36.10258933075433
273.0,220.5,195.0,35.53767779197438
276.0,222.0,196.5,35.44921294279824
277.5,216.0,202.5,36.119340849479755
276.0,208.5,196.5,35.44921294279824
