Transformed X,Transformed Y
251.850170,-140.090806
248.398351,-155.962722
243.188363,-167.302109
239.150487,-181.663182
208.369078,-209.648725
180.517952,-245.188482
152.559293,-239.166617
154.317462,-243.699146
136.886313,-256.560129
139.209033,-254.291176
133.391481,-255.807396
90.910449,-261.888404
74.629906,-269.458749
64.752972,-277.023717
25.180716,-282.346616
16.432881,-276.308621
-6.837326,-282.373499
0.152339,-283.878965
-20.230599,-280.873409
-13.783978,-297.492682
-2.734930,-292.949400
-20.230599,-280.873409
-25.462095,-283.900472
-16.149710,-283.136985
-12.068821,-285.400562
-14.391541,-287.669514
-14.391541,-287.669514
-24.876038,-285.411315
-2.734930,-292.949400
-10.310652,-289.933090
-22.553319,-283.142362
-32.451759,-282.395006
-4.493100,-288.416871
-9.160045,-284.642452
1.324452,-286.900651
-13.240934,-282.378876
-19.058486,-283.895095
-10.310652,-289.933090
-12.654878,-283.889719
-3.320987,-291.438557
-7.987932,-287.664138
-4.493100,-288.416871
-0.998268,-289.169604
-2.756437,-284.637075
-14.391541,-287.669514
-18.472430,-285.405938
-10.310652,-289.933090
-33.037816,-280.884163
-7.401876,-289.174981
-3.320987,-291.438557
-13.219428,-290.691200
-3.320987,-291.438557
-12.068821,-285.400562
-13.805484,-289.180357
-15.563654,-284.647828
-5.665213,-285.395185
-1.584324,-287.658761
-19.623036,-290.696577
-27.784814,-286.169425
-7.401876,-289.174981
-5.079156,-286.906028
-12.068821,-285.400562
-12.654878,-283.889719
-9.160045,-284.642452
-10.310652,-289.933090
-20.795149,-287.674891
-49.318358,-288.454507
-59.802856,-286.196308
-70.287353,-283.938109
-93.579067,-281.690663
-109.295059,-282.459526
-137.253719,-276.437661
-161.739053,-262.856204
-190.891332,-245.500329
-214.769102,-241.742040
-238.103829,-222.869944
-245.701057,-211.541311
-289.461736,-173.039011
-307.586475,-142.827529
-344.335982,-114.143019
-340.927176,-81.646454
-369.579425,-32.552124
-370.230002,-6.104307
-373.160284,1.449907
-366.192126,8.256766
-369.100902,7.498656
-371.466635,21.854352
-360.960631,11.283828
-370.859072,12.031185
-381.929625,15.800227
-370.837565,3.718860
-385.402951,8.240636
-370.837565,3.718860
-362.675787,-0.808292
-374.918454,5.982436
-364.433957,3.724237
-358.594898,-3.071868
-343.443455,-9.104487
-353.341896,-8.357130
-351.019177,-6.088177
-349.261007,-10.620706
-356.272179,-0.802915
-367.928789,4.476970
-370.816058,-4.593464
-353.927953,-6.846287
-349.261007,-10.620706
-351.019177,-6.088177
-345.787681,-3.061115
-353.949459,1.466037
-346.373738,-1.550272
-364.455463,12.036561
-356.293685,7.509409
-368.514846,5.987813
-354.535516,2.976880
-362.675787,-0.808292
-367.321226,-5.346198
-367.321226,-5.346198
-355.100066,-3.824601
-358.594898,-3.071868
-374.310891,-3.840731
-358.008842,-4.582711
-376.655117,2.202641
-359.745505,-8.362507
-370.230002,-6.104307
-365.584563,-1.566402
-346.352231,-9.862596
-351.019177,-6.088177
-352.169783,-11.378816
-344.615568,-6.082801
-360.917618,-5.340821
-364.998506,-3.077245
-359.767011,-0.050182
-368.493339,-2.324512
-374.918454,5.982436
-366.149113,-8.367883
-366.170620,-0.055559
-354.514009,-5.335444
-361.525181,4.482347
-359.767011,-0.050182
-367.928789,4.476970
-365.606070,6.745923
-373.181791,9.762232
-363.847900,2.213394
-356.293685,7.509409
-367.928789,4.476970
-369.665452,0.697174
-377.827230,5.224326
-374.332397,4.471593
-364.998506,-3.077245
-373.746341,2.960750
-353.341896,-8.357130
-378.977836,-0.066312
-360.353068,1.460661
-373.160284,1.449907
-361.503674,-3.829978
-377.805723,-3.087998
-360.917618,-5.340821
-368.493339,-2.324512
-378.956330,-8.378637
-365.563056,-9.878726
-378.370273,-9.889480
-364.977000,-11.389569
-369.100902,7.498656
-379.128383,58.119959
-364.627517,78.535157
-357.723878,110.278989
